,player_A,player_B,winner,loser
497,0,3,3,0
498,2,0,0,2
499,0,7,7,0
500,4,3,4,3
501,4,5,5,4
502,1,7,1,7
503,4,7,4,7
504,4,0,4,0
505,7,1,7,1
506,1,0,1,0
507,3,7,3,7
508,2,4,4,2
509,1,2,1,2
510,2,4,4,2
511,2,1,1,2
512,5,3,5,3
513,1,5,1,5
514,1,0,0,1
515,1,0,1,0
516,5,7,7,5
517,1,3,1,3
518,7,5,5,7
519,0,1,0,1
520,2,3,3,2
521,5,3,5,3
522,4,7,4,7
523,4,0,4,0
524,7,0,7,0
525,1,6,6,1
526,2,5,2,5
527,2,3,3,2
528,0,4,4,0
529,3,1,1,3
530,1,7,1,7
531,3,0,3,0
532,3,6,6,3
533,1,3,3,1
534,1,6,1,6
535,1,3,1,3
536,4,7,4,7
537,5,2,5,2
538,0,5,0,5
539,1,7,1,7
540,1,6,1,6
541,4,7,7,4
542,2,5,2,5
543,1,5,1,5
544,0,4,4,0
545,4,1,4,1
546,4,0,4,0
547,7,5,7,5
548,7,4,4,7
549,0,2,0,2
550,0,4,4,0
551,5,4,4,5
552,2,3,2,3
553,4,6,4,6
554,3,6,3,6
555,3,2,2,3
556,1,0,0,1
557,2,7,2,7
558,2,7,7,2
559,3,4,4,3
560,5,6,5,6
561,2,0,0,2
562,4,6,4,6
563,2,6,6,2
564,4,3,4,3
565,1,3,3,1
566,4,2,4,2
567,4,5,4,5
568,0,3,0,3
569,5,6,5,6
570,3,5,5,3
571,7,4,4,7
572,6,1,1,6
573,2,1,2,1
574,5,3,5,3
575,0,7,0,7
576,5,1,1,5
577,1,2,2,1
578,3,2,2,3
579,7,3,7,3
580,5,6,5,6
581,1,2,2,1
582,1,5,5,1
583,1,3,1,3
584,4,7,7,4
585,6,4,4,6
586,1,5,5,1
587,1,6,1,6
588,7,1,7,1
589,7,6,6,7
590,7,5,5,7
591,3,2,2,3
592,2,1,1,2
593,5,6,5,6
594,0,5,0,5
595,7,5,7,5
596,2,5,5,2
597,0,7,0,7
598,7,5,5,7
599,2,6,6,2
600,5,3,5,3
601,1,0,1,0
602,5,3,5,3
603,7,1,1,7
604,0,2,2,0
605,3,1,1,3
606,5,7,5,7
607,7,6,7,6
608,4,1,4,1
609,6,2,6,2
610,5,4,4,5
611,2,5,5,2
612,6,1,1,6
613,7,5,5,7
614,7,1,1,7
615,5,3,5,3
616,1,6,6,1
617,3,7,7,3
618,1,7,1,7
619,1,6,1,6
620,2,7,2,7
621,1,3,1,3
622,5,3,5,3
623,2,1,1,2
624,3,0,3,0
625,5,3,5,3
626,3,2,2,3
627,4,0,4,0
628,0,7,7,0
629,0,4,4,0
630,2,0,2,0
631,1,3,1,3
632,0,7,0,7
633,1,3,3,1
634,1,4,4,1
635,5,1,5,1
636,2,7,2,7
637,0,3,0,3
638,6,3,3,6
639,3,1,1,3
640,7,3,7,3
641,7,4,7,4
642,3,7,7,3
643,2,5,5,2
644,0,4,4,0
645,4,7,4,7
646,2,1,2,1
647,7,2,2,7
648,5,7,5,7
649,4,3,4,3
650,1,3,1,3
651,7,6,7,6
652,6,2,2,6
653,5,1,5,1
654,4,6,4,6
655,2,6,2,6
656,1,4,4,1
657,0,1,0,1
658,4,3,4,3
659,6,7,6,7
660,4,6,4,6
661,4,1,4,1
662,1,2,2,1
663,4,3,3,4
664,2,5,5,2
665,6,4,4,6
666,0,7,0,7
667,5,4,4,5
668,2,0,2,0
669,6,2,2,6
670,2,3,2,3
671,5,4,4,5
672,2,3,2,3
673,2,6,2,6
674,5,2,5,2
675,2,0,0,2
676,5,3,5,3
677,6,4,4,6
678,2,0,0,2
679,5,3,5,3
680,7,4,4,7
681,4,0,4,0
682,5,2,5,2
683,2,3,2,3
684,2,6,2,6
685,6,4,4,6
686,6,1,1,6
687,1,7,7,1
688,3,0,0,3
689,1,7,1,7
690,6,1,6,1
691,0,4,4,0
692,7,1,1,7
693,0,3,0,3
694,1,4,4,1
695,3,6,6,3
696,0,7,7,0
697,7,0,0,7
698,4,0,4,0
699,6,4,4,6
700,7,3,7,3
701,6,2,6,2
702,5,0,5,0
703,1,4,4,1
704,0,1,0,1
705,1,3,3,1
706,7,5,7,5
707,6,7,6,7
708,3,5,5,3
709,7,1,1,7
710,1,0,0,1
711,4,2,4,2
712,3,7,7,3
713,3,4,4,3
714,1,7,1,7
715,1,5,5,1
716,2,0,2,0
717,5,1,5,1
718,2,5,5,2
719,2,3,2,3
720,0,5,0,5
721,2,1,2,1
722,5,3,5,3
723,1,5,5,1
724,0,5,5,0
725,3,0,0,3
726,1,3,1,3
727,6,4,4,6
728,2,5,2,5
729,4,5,4,5
730,4,7,4,7
731,3,7,7,3
732,4,5,5,4
733,6,5,5,6
734,5,0,5,0
735,1,3,1,3
736,4,0,4,0
737,0,4,4,0
738,3,4,4,3
739,1,3,1,3
740,1,5,5,1
741,0,4,4,0
742,0,6,6,0
743,2,7,2,7
744,2,1,1,2
745,3,2,2,3
746,3,7,7,3
747,7,3,3,7
748,1,7,7,1
749,7,1,1,7
750,1,6,6,1
751,1,7,1,7
752,2,6,6,2
753,5,1,1,5
754,2,7,2,7
755,4,0,4,0
756,6,1,1,6
757,5,4,5,4
758,7,0,0,7
759,6,1,1,6
760,5,2,5,2
761,1,3,1,3
762,4,2,2,4
763,4,7,4,7
764,0,5,5,0
765,1,4,4,1
766,6,0,0,6
767,2,4,4,2
768,5,3,5,3
769,1,0,1,0
770,1,4,4,1
771,4,7,4,7
772,6,0,6,0
773,6,5,6,5
774,7,0,0,7
775,1,7,1,7
776,2,5,5,2
777,6,4,4,6
778,5,2,2,5
779,0,5,0,5
780,0,4,4,0
781,2,6,6,2
782,2,1,1,2
783,1,7,7,1
784,0,2,2,0
785,2,4,2,4
786,0,6,0,6
787,6,0,0,6
788,3,7,3,7
789,6,4,4,6
790,6,1,1,6
791,7,1,1,7
792,5,0,5,0
793,2,4,4,2
794,6,5,5,6
795,7,1,1,7
796,6,0,0,6
797,0,3,0,3
798,2,0,2,0
799,1,0,1,0
800,3,2,2,3
801,7,1,1,7
802,4,1,4,1
803,7,6,6,7
804,4,1,4,1
805,3,0,0,3
806,5,2,5,2
807,7,4,4,7
808,6,2,2,6
809,4,1,4,1
810,1,5,1,5
811,2,4,4,2
812,4,3,4,3
813,3,5,5,3
814,4,5,4,5
815,7,6,7,6
816,6,0,0,6
817,0,2,0,2
818,0,1,1,0
819,4,5,4,5
820,0,5,5,0
821,4,7,4,7
822,3,0,3,0
823,4,0,4,0
824,0,1,0,1
825,5,7,5,7
826,4,1,4,1
827,7,2,2,7
828,5,1,5,1
829,1,5,5,1
830,7,5,5,7
831,7,1,1,7
832,1,3,1,3
833,1,4,4,1
834,1,3,1,3
835,3,4,4,3
836,6,7,7,6
837,5,1,1,5
838,7,6,6,7
839,7,5,7,5
840,2,0,0,2
841,4,3,4,3
842,4,5,5,4
843,2,3,3,2
844,1,5,5,1
845,1,0,1,0
846,6,3,6,3
847,3,1,1,3
848,0,1,0,1
849,1,5,5,1
850,2,6,2,6
851,2,3,2,3
852,2,0,2,0
853,6,3,6,3
854,4,5,4,5
855,6,7,7,6
856,5,2,2,5
857,5,6,5,6
858,4,2,4,2
859,6,5,6,5
860,6,1,6,1
861,5,7,5,7
862,0,6,0,6
863,2,4,4,2
864,1,4,1,4
865,0,7,7,0
866,2,3,2,3
867,6,5,5,6
868,2,5,2,5
869,0,7,0,7
870,1,0,1,0
871,4,5,4,5
872,4,0,4,0
873,5,4,4,5
874,2,0,2,0
875,4,2,4,2
876,0,2,2,0
877,0,5,0,5
878,7,1,1,7
879,5,4,4,5
880,0,4,4,0
881,2,1,1,2
882,4,1,4,1
883,5,3,3,5
884,2,1,1,2
885,6,5,6,5
886,3,4,4,3
887,7,0,7,0
888,2,6,2,6
889,4,6,4,6
890,2,6,2,6
891,5,2,5,2
892,3,2,2,3
893,2,1,1,2
894,4,2,4,2
895,5,4,5,4
896,2,7,2,7
897,6,1,1,6
898,0,2,0,2
899,2,0,0,2
900,5,7,5,7
901,7,5,5,7
902,0,5,5,0
903,3,1,1,3
904,3,0,0,3
905,0,7,0,7
906,5,3,5,3
907,7,0,0,7
908,6,4,4,6
909,3,1,3,1
910,0,4,4,0
911,4,7,7,4
912,0,1,1,0
913,4,7,4,7
914,5,6,5,6
915,7,4,4,7
916,1,3,3,1
917,4,1,4,1
918,3,5,5,3
919,4,5,4,5
920,4,7,4,7
921,2,6,6,2
922,3,7,7,3
923,0,3,0,3
924,5,2,2,5
925,3,4,4,3
926,3,2,2,3
927,4,7,4,7
928,1,2,2,1
929,4,6,4,6
930,2,6,2,6
931,5,6,6,5
932,3,0,0,3
933,5,0,5,0
934,2,5,2,5
935,3,2,3,2
936,2,6,2,6
937,5,1,5,1
938,2,4,4,2
939,5,7,5,7
940,3,0,0,3
941,3,7,7,3
942,3,2,2,3
943,0,2,2,0
944,0,5,5,0
945,0,5,0,5
946,7,0,0,7
947,7,4,4,7
948,2,6,2,6
949,4,3,4,3
950,6,2,2,6
951,7,5,5,7
952,5,2,5,2
953,3,5,5,3
954,2,1,2,1
955,2,6,6,2
956,3,6,6,3
957,0,4,4,0
958,6,0,0,6
959,2,0,2,0
960,5,4,4,5
961,3,4,4,3
962,0,7,0,7
963,3,1,1,3
964,5,7,5,7
965,5,6,5,6
966,1,3,1,3
967,2,6,6,2
968,3,0,0,3
969,3,4,4,3
970,0,4,4,0
971,6,7,7,6
972,0,6,0,6
973,3,6,6,3
974,7,0,0,7
975,0,5,0,5
976,5,6,5,6
977,6,4,4,6
978,1,5,1,5
979,4,2,4,2
980,5,0,5,0
981,7,3,7,3
982,0,4,4,0
983,6,5,5,6
984,3,5,5,3
985,5,3,5,3
986,4,6,4,6
987,4,6,4,6
988,4,7,4,7
989,6,1,6,1
990,0,7,0,7
991,6,4,4,6
992,0,4,4,0
993,4,3,3,4
994,1,2,2,1
995,7,5,5,7
996,1,5,1,5
997,4,0,4,0
998,0,6,6,0
999,7,0,0,7
1000,1,6,1,6
1001,1,3,1,3
1002,0,6,6,0
1003,5,0,5,0
1004,4,0,4,0
1005,1,0,1,0
1006,7,6,7,6
1007,6,0,6,0
1008,7,1,1,7
1009,5,7,5,7
1010,4,2,2,4
1011,3,2,3,2
1012,1,2,2,1
1013,4,6,6,4
1014,4,3,4,3
1015,7,4,4,7
1016,0,3,3,0
1017,2,5,2,5
1018,2,0,0,2
1019,6,4,4,6
1020,4,0,4,0
1021,4,1,4,1
1022,4,7,7,4
1023,1,6,1,6
1024,2,6,6,2
1025,7,2,2,7
1026,5,7,7,5
1027,6,0,0,6
1028,7,5,7,5
1029,2,6,6,2
1030,1,4,4,1
1031,7,0,0,7
1032,0,2,2,0
1033,2,7,2,7
1034,4,5,4,5
1035,6,7,6,7
1036,4,2,4,2
1037,7,0,0,7
1038,3,0,3,0
1039,0,4,4,0
1040,2,5,5,2
1041,5,4,5,4
1042,2,0,0,2
1043,5,6,6,5
1044,2,5,5,2
1045,2,0,0,2
1046,0,6,6,0
1047,6,7,7,6
1048,7,3,7,3
1049,5,3,5,3
1050,0,4,4,0
1051,2,3,2,3
1052,3,0,3,0
1053,2,0,2,0
1054,3,6,6,3
1055,7,1,1,7
1056,3,5,3,5
1057,7,6,6,7
1058,5,7,5,7
1059,4,2,2,4
1060,7,1,7,1
1061,0,7,0,7
1062,4,5,4,5
1063,3,6,3,6
1064,0,4,4,0
1065,4,2,4,2
1066,6,4,4,6
1067,3,2,2,3
1068,2,3,3,2
1069,7,3,7,3
1070,1,6,1,6
1071,0,4,0,4
1072,0,5,5,0
1073,4,2,4,2
1074,6,7,6,7
1075,4,2,4,2
1076,2,0,2,0
1077,6,0,0,6
1078,0,2,2,0
1079,6,1,1,6
1080,5,7,5,7
1081,2,3,3,2
1082,2,1,2,1
1083,7,1,1,7
1084,1,6,6,1
1085,5,7,5,7
1086,4,6,4,6
1087,6,4,4,6
1088,7,5,7,5
1089,0,4,4,0
1090,5,6,5,6
1091,4,2,4,2
1092,0,7,7,0
1093,5,3,5,3
1094,5,2,5,2
1095,0,3,0,3
1096,4,5,4,5
1097,5,1,5,1
1098,4,5,4,5
1099,7,4,4,7
1100,3,4,4,3
1101,3,7,7,3
1102,4,2,4,2
1103,0,3,0,3
1104,2,1,1,2
1105,7,3,3,7
1106,5,2,5,2
1107,7,0,0,7
1108,4,5,4,5
1109,0,2,2,0
1110,1,2,1,2
1111,6,0,6,0
1112,5,1,5,1
1113,7,3,7,3
1114,5,6,6,5
1115,2,7,2,7
1116,7,0,0,7
1117,1,2,2,1
1118,0,4,4,0
1119,7,0,7,0
1120,0,7,0,7
1121,1,4,4,1
1122,0,6,0,6
1123,4,3,4,3
1124,5,7,5,7
1125,4,6,4,6
1126,1,2,2,1
1127,0,7,0,7
1128,3,1,3,1
1129,6,0,0,6
1130,6,4,4,6
1131,7,3,3,7
1132,6,5,6,5
1133,5,1,5,1
1134,6,0,0,6
1135,1,5,5,1
1136,7,6,6,7
1137,6,3,6,3
1138,5,6,6,5
1139,7,5,5,7
1140,4,1,1,4
1141,1,3,1,3
1142,2,6,6,2
1143,3,0,0,3
1144,6,4,4,6
1145,4,6,4,6
1146,6,3,3,6
1147,6,7,7,6
1148,4,0,0,4
1149,2,6,2,6
1150,3,5,5,3
1151,6,0,6,0
1152,2,1,1,2
1153,0,1,1,0
1154,6,1,1,6
1155,2,5,5,2
1156,1,5,5,1
1157,5,7,7,5
1158,5,3,5,3
1159,1,4,1,4
1160,1,7,1,7
1161,4,7,4,7
1162,4,2,4,2
1163,0,3,0,3
1164,3,2,2,3
1165,5,2,5,2
1166,2,3,3,2
1167,4,5,5,4
1168,1,4,4,1
1169,6,5,5,6
1170,6,4,4,6
1171,2,6,2,6
1172,6,4,4,6
1173,0,2,0,2
1174,2,1,1,2
1175,7,0,0,7
1176,3,0,3,0
1177,2,4,4,2
1178,5,4,5,4
1179,5,3,5,3
1180,2,0,2,0
1181,4,3,4,3
1182,5,3,3,5
1183,4,0,4,0
1184,6,1,1,6
1185,1,3,1,3
1186,3,5,5,3
1187,1,4,4,1
1188,4,2,4,2
1189,0,6,6,0
1190,7,3,7,3
1191,3,5,3,5
1192,1,5,5,1
1193,7,1,1,7
1194,6,7,6,7
1195,1,3,3,1
1196,1,5,5,1
1197,1,4,4,1
1198,1,5,1,5
1199,1,2,1,2
1200,2,4,4,2
1201,5,6,5,6
1202,2,0,2,0
1203,4,0,4,0
1204,2,1,2,1
1205,6,4,6,4
1206,5,7,7,5
1207,3,6,6,3
1208,4,7,4,7
1209,6,4,4,6
1210,7,3,7,3
1211,6,3,3,6
1212,6,2,6,2
1213,5,4,5,4
1214,7,0,0,7
1215,3,0,3,0
1216,2,0,2,0
1217,6,1,1,6
1218,7,3,7,3
1219,0,2,0,2
1220,1,3,1,3
1221,6,7,6,7
1222,2,1,2,1
1223,2,4,4,2
1224,2,3,3,2
1225,4,3,4,3
1226,4,7,4,7
1227,3,5,5,3
1228,6,2,2,6
1229,5,4,4,5
1230,2,3,2,3
1231,4,0,4,0
1232,0,1,0,1
1233,5,7,5,7
1234,1,3,1,3
1235,2,4,4,2
1236,0,5,5,0
1237,3,6,6,3
1238,6,3,3,6
1239,1,6,6,1
1240,2,4,4,2
1241,0,3,3,0
1242,3,6,6,3
1243,5,4,4,5
1244,5,3,3,5
1245,0,6,0,6
1246,1,6,6,1
1247,6,7,7,6
1248,6,0,6,0
1249,5,3,3,5
1250,6,0,6,0
1251,7,0,0,7
1252,6,1,1,6
1253,0,4,4,0
1254,2,5,5,2
1255,6,0,6,0
1256,7,2,2,7
1257,1,2,1,2
1258,1,5,5,1
1259,7,4,4,7
1260,3,0,3,0
1261,7,0,0,7
1262,5,0,0,5
1263,3,5,5,3
1264,1,5,1,5
1265,1,6,1,6
1266,6,4,4,6
1267,3,7,7,3
1268,6,2,2,6
1269,0,1,0,1
1270,1,3,1,3
1271,0,1,1,0
1272,5,6,5,6
1273,6,3,3,6
1274,7,3,7,3
1275,3,4,4,3
1276,0,6,0,6
1277,0,4,0,4
1278,1,0,1,0
1279,2,1,1,2
1280,6,0,6,0
1281,5,1,1,5
1282,5,6,5,6
1283,6,5,5,6
1284,1,3,1,3
1285,4,6,4,6
1286,5,0,0,5
1287,3,4,4,3
1288,6,4,6,4
1289,6,3,6,3
1290,3,4,4,3
1291,3,1,3,1
1292,6,1,6,1
1293,6,7,7,6
1294,0,4,4,0
1295,5,6,5,6
1296,2,6,6,2
1297,1,0,1,0
1298,6,4,4,6
1299,3,6,3,6
1300,0,5,0,5
1301,4,0,4,0
1302,2,7,7,2
1303,3,2,2,3
1304,4,5,5,4
1305,7,5,5,7
1306,6,4,4,6
1307,1,4,4,1
1308,6,5,5,6
1309,2,0,2,0
1310,0,3,3,0
1311,5,0,5,0
1312,2,7,2,7
1313,4,7,4,7
1314,6,4,4,6
1315,2,0,0,2
1316,6,0,0,6
1317,4,0,4,0
1318,1,5,1,5
1319,5,7,5,7
1320,6,2,6,2
1321,2,6,2,6
1322,4,7,4,7
1323,4,5,4,5
1324,3,4,4,3
1325,6,4,6,4
1326,3,2,3,2
1327,7,3,7,3
1328,3,5,5,3
1329,4,5,4,5
1330,4,3,4,3
1331,2,0,2,0
1332,0,6,6,0
1333,3,6,6,3
1334,5,3,5,3
1335,2,6,2,6
1336,6,2,2,6
1337,4,1,4,1
1338,6,2,2,6
1339,0,3,0,3
1340,3,2,2,3
1341,7,2,7,2
1342,6,4,4,6
1343,0,1,1,0
1344,1,3,1,3
1345,1,2,1,2
1346,2,7,7,2
1347,6,7,7,6
1348,3,2,2,3
1349,6,5,5,6
1350,6,5,5,6
1351,1,6,1,6
1352,7,5,5,7
1353,3,7,7,3
1354,6,2,6,2
1355,3,6,6,3
1356,0,4,4,0
1357,2,6,2,6
1358,2,6,2,6
1359,2,1,1,2
